semester,occupancy-student,occupancy-permanent-academic-staff ,temp-acaemic,executive-non-academic,other-non-academic ,no-of-degree-programs ,no-of-departments,total 
2,1000,35,40,1,24,3,6,29129.3004
2,1000,35,40,2,8,3,6,28521.7362
2,1000,35,40,2,24,3,6,29230.6557
2,1000,20,40,3,8,3,6,28617.6434
2,1000,20,40,3,24,3,6,29326.5629
2,1000,20,40,4,8,3,6,28705.2817
2,1000,20,40,4,24,3,6,29414.2012
2,1000,35,49,1,8,3,7,28827.9583
2,1000,35,49,1,24,3,7,29536.8778
2,1000,35,49,2,8,3,7,28929.3136
2,1000,35,49,2,24,3,7,29638.2331
2,1000,20,49,3,8,3,7,29025.2208
2,1000,20,49,3,24,3,7,29734.1403
2,1000,20,49,4,8,3,7,29112.8591
2,1000,35,57,1,8,3,8,29677.5389
2,1000,35,57,1,24,3,8,30386.4584
2,1000,35,57,2,8,3,8,29778.8942
2,1000,35,57,2,24,3,8,30487.8137
2,1000,35,57,3,8,3,8,29874.8014
2,1000,35,57,3,24,3,8,30583.7209
2,1000,35,57,4,8,3,8,29962.4397
2,1000,35,57,4,24,3,8,30671.3592
2,1000,44,16,1,8,3,3,28024.1038
2,1000,44,16,1,24,3,3,28733.0233
2,1000,44,16,2,8,3,3,28125.4591
2,1000,44,16,2,24,3,3,28834.3786
2,1000,44,16,3,8,3,3,28221.3663
2,1000,44,16,3,24,3,3,28930.2858
2,1000,44,16,4,8,3,3,28309.0046
2,1000,44,24,1,8,3,4,28565.4112
2,1000,44,24,1,24,3,4,29274.3307
2,1000,44,24,2,8,3,4,28666.7665
2,1000,44,24,2,24,3,4,29375.686
2,1000,44,24,3,8,3,4,28762.6737
2,1000,44,24,3,24,3,4,29471.5932
2,1000,44,24,4,8,3,4,28850.312
2,1000,44,24,4,24,3,4,29559.2315
2,1000,44,32,1,8,3,5,29025.7926
2,1000,44,32,1,24,3,5,29734.7121
2,1000,44,32,2,8,3,5,29127.1479
2,1000,44,32,2,24,3,5,29836.0674
2,1000,44,32,3,8,3,5,29223.0551
2,1000,44,32,3,24,3,5,29931.9746
2,1000,44,32,4,8,3,5,29310.6934
2,1000,44,32,4,24,3,5,30019.6129
2,1000,44,40,1,8,3,6,29337.6262
2,1000,44,40,1,24,3,6,30046.5457
2,1000,44,40,2,8,3,6,29438.9815
2,1000,44,40,2,24,3,6,30147.901
2,1000,44,40,3,8,3,6,29534.8887
2,1000,44,40,3,24,3,6,30243.8082
2,1000,44,40,4,8,3,6,29622.527
2,1000,44,40,4,24,3,6,30331.4465
2,1000,44,49,1,8,3,7,29745.2036
2,1000,44,49,1,24,3,7,30454.1231
2,1000,44,49,2,8,3,7,29846.5589
2,1000,44,49,2,24,3,7,30555.4784
2,1000,44,49,3,8,3,7,29942.4661
2,1000,44,49,3,24,3,7,30651.3856
2,1000,44,49,4,8,3,7,30030.1044
2,1000,44,49,4,24,3,7,30739.0239
2,1000,44,57,1,8,3,8,30594.7842
2,1000,44,57,1,24,3,8,31303.7037
2,1000,44,57,2,8,3,8,30696.1395
2,1000,44,57,2,24,3,8,31405.059
2,1000,44,57,3,8,3,8,30792.0467
2,1000,44,57,3,24,3,8,31500.9662
2,1000,44,57,4,8,3,8,30879.685
2,1000,44,57,4,24,3,8,31588.6045
2,1000,50,16,1,8,3,3,28541.8791
2,1000,50,16,1,24,3,3,29250.7986
2,1000,50,16,2,8,3,3,28643.2344
2,1000,50,16,2,24,3,3,29352.1539
2,1000,44,16,3,8,3,3,28739.1416
2,1000,44,16,3,24,3,3,29448.0611
2,1000,44,16,4,8,3,3,28826.7799
2,1000,44,16,4,24,3,3,29535.6994
2,1000,50,24,1,8,3,4,29083.1865
2,1000,50,24,1,24,3,4,29792.106
2,1000,50,24,2,8,3,4,29184.5418
2,1000,50,24,2,24,3,4,29893.4613
2,1000,50,24,3,8,3,4,29280.449
2,1000,50,24,3,24,3,4,29989.3685
2,1000,50,24,4,8,3,4,29368.0873
2,1000,50,24,4,24,3,4,30077.0068
2,1000,50,32,1,8,3,5,29543.5679
2,1000,50,32,1,24,3,5,30252.4874
2,1000,50,32,2,8,3,5,29644.9232
2,1000,50,32,2,24,3,5,30353.8427
2,1000,50,32,3,8,3,5,29740.8304
2,1000,50,32,3,24,3,5,30449.7499
2,1000,50,32,4,8,3,5,29828.4687
2,1000,50,32,4,24,3,5,30537.3882
2,1000,50,40,1,8,3,6,29855.4015
2,1000,50,40,1,24,3,6,30564.321
2,1000,50,40,2,8,3,6,29956.7568
2,1000,50,40,2,24,3,6,30665.6763
2,1000,20,40,3,8,3,6,30052.664
2,1000,20,40,3,24,3,6,30761.5835
2,1000,20,40,4,8,3,6,30140.3023
2,1000,20,40,4,24,3,6,30849.2218
2,1000,50,49,1,8,3,7,30262.9789
2,1000,50,49,1,24,3,7,30971.8984
2,1000,50,49,2,8,3,7,30364.3342
2,1000,50,49,2,24,3,7,31073.2537
2,1000,20,49,3,8,3,7,30460.2414
2,1000,20,49,3,24,3,7,31169.1609
2,1000,20,49,4,8,3,7,30547.8797
2,1000,20,49,4,24,3,7,31256.7992
2,1000,50,57,1,8,3,8,31112.5595
2,1000,50,57,1,24,3,8,31821.479
2,1000,50,57,2,8,3,8,31213.9148
2,1000,50,57,2,24,3,8,31922.8343
2,1000,50,57,3,8,3,8,31309.822
2,1000,50,57,3,24,3,8,32018.7415
2,1000,50,57,4,8,3,8,31397.4603
2,1000,50,57,4,24,3,8,32106.3798
2,1000,59,16,1,8,3,3,29239.1278
2,1000,59,16,1,24,3,3,29948.0473
2,1000,59,16,2,8,3,3,29340.4831
2,1000,59,16,2,24,3,3,30049.4026
2,1000,59,16,3,8,3,3,29436.3903
2,1000,59,16,3,24,3,3,30145.3098
2,1000,59,16,4,8,3,3,29524.0286
2,1000,59,16,4,24,3,3,30232.9481
2,1000,59,24,1,8,3,4,29780.4352
2,1000,59,24,1,24,3,4,30489.3547
2,1000,59,24,2,8,3,4,29881.7905
2,1000,59,24,2,24,3,4,30590.71
2,1000,59,24,3,8,3,4,29977.6977
2,1000,59,24,3,24,3,4,30686.6172
2,1000,59,24,4,8,3,4,30065.336
2,1000,59,24,4,24,3,4,30774.2555
2,1000,59,32,1,8,3,5,30240.8166
2,1000,59,32,1,24,3,5,30949.7361
2,1000,59,32,2,8,3,5,30342.1719
2,1000,59,32,2,24,3,5,31051.0914
2,1000,59,32,3,8,3,5,30438.0791
2,1000,59,32,3,24,3,5,31146.9986
2,1000,59,32,4,8,3,5,30525.7174
2,1000,59,32,4,24,3,5,31234.6369
2,1000,59,40,1,8,3,6,30552.6502
2,1000,59,40,1,24,3,6,31261.5697
2,1000,59,40,2,8,3,6,30654.0055
2,1000,59,40,2,24,3,6,31362.925
2,1000,59,40,3,8,3,6,30749.9127
2,1000,59,40,3,24,3,6,31458.8322
2,1000,59,40,4,8,3,6,30837.551
2,1000,59,40,4,24,3,6,31546.4705
2,1000,59,49,1,8,3,7,30960.2276
2,1000,59,49,1,24,3,7,31669.1471
2,1000,59,49,2,8,3,7,31061.5829
2,1000,59,49,2,24,3,7,31770.5024
2,1000,59,49,3,8,3,7,31157.4901
2,1000,59,49,3,24,3,7,31866.4096
2,1000,59,49,4,8,3,7,31245.1284
2,1000,59,49,4,24,3,7,31954.0479
2,1000,59,57,1,8,3,8,31809.8082
2,1000,59,57,1,24,3,8,32518.7277
2,1000,59,57,2,8,3,8,31911.1635
2,1000,59,57,2,24,3,8,32620.083
2,1000,59,57,3,8,3,8,32007.0707
2,1000,59,57,3,24,3,8,32715.9902
2,1000,59,57,4,8,3,8,32094.709
2,1000,59,57,4,24,3,8,32803.6285
2,1000,68,16,1,8,3,3,30028.2157
2,1000,68,16,1,24,3,3,30737.1352
2,1000,68,16,2,8,3,3,30129.571
2,1000,68,16,2,24,3,3,30838.4905
2,1000,68,16,3,8,3,3,30225.4782
2,1000,68,16,3,24,3,3,30934.3977
2,1000,68,16,4,8,3,3,30313.1165
2,1000,68,16,4,24,3,3,31022.036
2,1000,68,24,1,8,3,4,30569.5231
2,1000,68,24,1,24,3,4,31278.4426
2,1000,68,24,2,8,3,4,30670.8784
2,1000,68,24,2,24,3,4,31379.7979
2,1000,68,24,3,8,3,4,30766.7856
2,1000,68,24,3,24,3,4,31475.7051
2,1000,68,24,4,8,3,4,30854.4239
2,1000,68,24,4,24,3,4,31563.3434
2,1000,68,32,1,8,3,5,31029.9045
2,1000,68,32,1,24,3,5,31738.824
2,1000,68,32,2,8,3,5,31131.2598
2,1000,68,32,2,24,3,5,31840.1793
2,1000,68,32,3,8,3,5,31227.167
2,1000,68,32,3,24,3,5,31936.0865
2,1000,68,32,4,8,3,5,31314.8053
2,1000,68,32,4,24,3,5,32023.7248
2,1000,68,40,1,8,3,6,31341.7381
2,1000,68,40,1,24,3,6,32050.6576
2,1000,68,40,2,8,3,6,31443.0934
2,1000,68,40,2,24,3,6,32152.0129
2,1000,68,40,3,8,3,6,31539.0006
2,1000,68,40,3,24,3,6,32247.9201
2,1000,68,40,4,8,3,6,31626.6389
2,1000,68,40,4,24,3,6,32335.5584
2,1000,68,49,1,8,3,7,31749.3155
2,1000,68,49,1,24,3,7,32458.235
2,1000,68,49,2,8,3,7,31850.6708
2,1000,68,49,2,24,3,7,32559.5903
2,1000,68,49,3,8,3,7,31946.578
2,1000,68,49,3,24,3,7,32655.4975
2,1000,68,49,4,8,3,7,32034.2163
2,1000,68,49,4,24,3,7,32743.1358
2,1000,68,57,1,8,3,8,32598.8961
2,1000,68,57,1,24,3,8,33307.8156
2,1000,68,57,2,8,3,8,32700.2514
2,1000,68,57,2,24,3,8,33409.1709
2,1000,68,57,3,8,3,8,32796.1586
2,1000,68,57,3,24,3,8,33505.0781
2,1000,68,57,4,8,3,8,32883.7969
2,1000,68,57,4,24,3,8,33592.7164
2,1000,74,16,1,8,3,3,30499.2674
2,1000,74,16,1,24,3,3,31208.1869
2,1000,74,16,2,8,3,3,30600.6227
2,1000,74,16,2,24,3,3,31309.5422
2,1000,74,16,3,8,3,3,30696.5299
2,1000,74,16,3,24,3,3,31405.4494
2,1000,74,16,4,8,3,3,30784.1682
2,1000,74,16,4,24,3,3,31493.0877
2,1000,74,24,1,8,3,4,31040.5748
2,1000,74,24,1,24,3,4,31749.4943
2,1000,74,24,2,8,3,4,31141.9301
2,1000,74,24,2,24,3,4,31850.8496
2,1000,74,24,3,8,3,4,31237.8373
2,1000,74,24,3,24,3,4,31946.7568
2,1000,74,24,4,8,3,4,31325.4756
2,1000,74,24,4,24,3,4,32034.3951
2,1000,74,32,1,8,3,5,31500.9562
2,1000,74,32,1,24,3,5,32209.8757
2,1000,74,32,2,8,3,5,31602.3115
2,1000,74,32,2,24,3,5,32311.231
2,1000,74,32,3,8,3,5,31698.2187
2,1000,74,32,3,24,3,5,32407.1382
2,1000,74,32,4,8,3,5,31785.857
2,1000,74,32,4,24,3,5,32494.7765
2,1000,74,40,1,8,3,6,31812.7898
2,1000,74,40,1,24,3,6,32521.7093
2,1000,74,40,2,8,3,6,31914.1451
2,1000,74,40,2,24,3,6,32623.0646
2,1000,74,40,3,8,3,6,32010.0523
2,1000,74,40,3,24,3,6,32718.9718
2,1000,74,40,4,8,3,6,32097.6906
2,1000,74,40,4,24,3,6,32806.6101
2,1000,74,49,1,8,3,7,32220.3672
2,1000,74,49,1,24,3,7,32929.2867
2,1000,74,49,2,8,3,7,32321.7225
2,1000,74,49,2,24,3,7,33030.642
2,1000,74,49,3,8,3,7,32417.6297
2,1000,74,49,3,24,3,7,33126.5492
2,1000,74,49,4,8,3,7,32505.268
2,1000,74,49,4,24,3,7,33214.1875
2,1000,74,57,1,8,3,8,33069.9478
2,1000,74,57,1,24,3,8,33778.8673
2,1000,74,57,2,8,3,8,33171.3031
2,1000,74,57,2,24,3,8,33880.2226
2,1000,74,57,3,8,3,8,33267.2103
2,1000,74,57,3,24,3,8,33976.1298
2,1000,74,57,4,8,3,8,33354.8486
2,1000,74,57,4,24,3,8,34063.7681
2,1000,83,16,1,8,3,3,31072.0567
2,1000,83,16,1,24,3,3,31780.9762
2,1000,83,16,2,8,3,3,31173.412
2,1000,83,16,2,24,3,3,31882.3315
2,1000,83,16,3,8,3,3,31269.3192
2,1000,83,16,3,24,3,3,31978.2387
2,1000,83,16,4,8,3,3,31356.9575
2,1000,83,16,4,24,3,3,32065.877
2,1000,83,24,1,8,3,4,31599.3641
2,1000,83,24,1,24,3,4,32308.2836
2,1000,83,24,2,8,3,4,31700.7194
2,1000,83,24,2,24,3,4,32409.6389
2,1000,83,24,3,8,3,4,31796.6266
2,1000,83,24,3,24,3,4,32505.5461
2,1000,83,24,4,8,3,4,31884.2649
2,1000,83,24,4,24,3,4,32593.1844
2,1000,83,32,1,8,3,5,32059.7455
2,1000,83,32,1,24,3,5,32768.665
2,1000,83,32,2,8,3,5,32161.1008
2,1000,83,32,2,24,3,5,32870.0203
2,1000,83,32,3,8,3,5,32257.008
2,1000,83,32,3,24,3,5,32965.9275
2,1000,83,32,4,8,3,5,32344.6463
2,1000,83,32,4,24,3,5,33053.5658
2,1000,83,40,1,8,3,6,32371.5791
2,1000,83,40,1,24,3,6,33080.4986
2,1000,83,40,2,8,3,6,32472.9344
2,1000,83,40,2,24,3,6,33181.8539
2,1000,83,40,3,8,3,6,32568.8416
2,1000,83,40,3,24,3,6,33277.7611
2,1000,83,40,4,8,3,6,32656.4799
2,1000,83,49,1,8,3,7,32779.1565
2,1000,83,49,1,24,3,7,33488.076
2,1000,83,49,2,8,3,7,32880.5118
2,1000,83,49,2,24,3,7,33589.4313
2,1000,83,49,3,8,3,7,32976.419
2,1000,83,49,3,24,3,7,33685.3385
2,1000,83,49,4,8,3,7,33064.0573
2,1000,83,57,1,8,3,8,33628.7371
2,1000,83,57,1,24,3,8,34337.6566
2,1000,83,57,2,8,3,8,33730.0924
2,1000,83,57,2,24,3,8,34439.0119
2,1000,83,57,3,8,3,8,33825.9996
2,1000,83,57,3,24,3,8,34534.9191
2,1000,83,57,4,8,3,8,33913.6379
2,1000,83,57,4,24,3,8,34622.5574
2,1000,92,16,1,8,3,3,31740.3535
2,1000,92,16,1,24,3,3,32449.273
2,1000,92,16,2,8,3,3,31841.7088
2,1000,92,16,2,24,3,3,32550.6283
2,1000,92,16,3,8,3,3,31937.616
2,1000,92,16,3,24,3,3,32646.5355
2,1000,92,16,4,8,3,3,32025.2543
2,1000,92,16,4,24,3,3,32734.1738
2,1000,92,24,1,8,3,4,32281.6609
2,1000,92,24,1,24,3,4,32990.5804
2,1000,92,24,2,8,3,4,32383.0162
2,1000,92,24,2,24,3,4,33091.9357
2,1000,92,24,3,8,3,4,32478.9234
2,1000,92,24,3,24,3,4,33187.8429
2,1000,92,24,4,8,3,4,32566.5617
2,1000,92,24,4,24,3,4,33275.4812
2,1000,92,32,1,8,3,5,32742.0423
2,1000,92,32,1,24,3,5,33450.9618
2,1000,92,32,2,8,3,5,32843.3976
2,1000,92,32,2,24,3,5,33552.3171
2,1000,92,32,3,8,3,5,32939.3048
2,1000,92,32,3,24,3,5,33648.2243
2,1000,92,32,4,8,3,5,33026.9431
2,1000,92,32,4,24,3,5,33735.8626
2,1000,92,40,1,8,3,6,33053.8759
2,1000,92,40,1,24,3,6,33762.7954
2,1000,92,40,2,8,3,6,33155.2312
2,1000,92,40,2,24,3,6,33864.1507
2,1000,92,40,3,8,3,6,33251.1384
2,1000,92,40,3,24,3,6,33960.0579
2,1000,92,40,4,8,3,6,33338.7767
2,1000,92,40,4,24,3,6,34047.6962
2,1000,92,49,1,8,3,7,33461.4533
2,1000,92,49,1,24,3,7,34170.3728
2,1000,92,49,2,8,3,7,33562.8086
2,1000,92,49,2,24,3,7,34271.7281
2,1000,92,49,3,8,3,7,33658.7158
2,1000,92,49,3,24,3,7,34367.6353
2,1000,92,49,4,8,3,7,33746.3541
2,1000,92,49,4,24,3,7,34455.2736
2,1000,92,57,1,8,3,8,34311.0339
2,1000,92,57,1,24,3,8,35019.9534
2,1000,92,57,2,8,3,8,34412.3892
2,1000,92,57,2,24,3,8,35121.3087
2,1000,92,57,3,8,3,8,34508.2964
2,1000,92,57,3,24,3,8,35217.2159
2,1000,92,57,4,8,3,8,34595.9347
2,1000,92,57,4,24,3,8,35304.8542
2,1000,95,16,1,8,3,3,32763.5123
2,1000,95,16,1,24,3,3,33472.4318
2,1000,95,16,2,8,3,3,32864.8676
2,1000,95,16,2,24,3,3,33573.7871
2,1000,95,16,3,8,3,3,32960.7748
2,1000,95,16,3,24,3,3,33669.6943
2,1000,95,16,4,8,3,3,33048.4131
2,1000,95,16,4,24,3,3,33757.3326
2,1000,95,24,1,8,3,4,33304.8197
2,1000,95,24,1,24,3,4,34013.7392
2,1000,95,24,2,8,3,4,33406.175
2,1000,95,24,2,24,3,4,34115.0945
2,1000,95,24,3,8,3,4,33502.0822
2,1000,95,24,3,24,3,4,34211.0017
2,1000,95,24,4,8,3,4,33589.7205
2,1000,95,24,4,24,3,4,34298.64
2,1000,95,32,1,8,3,5,33765.2011
2,1000,95,32,1,24,3,5,34474.1206
2,1000,95,32,2,8,3,5,33866.5564
2,1000,95,32,2,24,3,5,34575.4759
2,1000,95,32,3,8,3,5,33962.4636
2,1000,95,32,3,24,3,5,34671.3831
2,1000,95,32,4,8,3,5,34050.1019
2,1000,95,32,4,24,3,5,34759.0214
2,1000,95,40,1,8,3,6,34077.0347
2,1000,95,40,1,24,3,6,34785.9542
2,1000,95,40,2,8,3,6,34178.39
2,1000,95,40,2,24,3,6,34887.3095
2,1000,95,40,3,8,3,6,34274.2972
2,1000,95,40,3,24,3,6,34983.2167
2,1000,95,40,4,8,3,6,34361.9355
2,1000,95,40,4,24,3,6,35070.855
2,1000,95,49,1,8,3,7,34484.6121
2,1000,95,49,1,24,3,7,35193.5316
2,1000,95,49,2,8,3,7,34585.9674
2,1000,95,49,2,24,3,7,35294.8869
2,1000,95,49,3,8,3,7,34681.8746
2,1000,95,49,3,24,3,7,35390.7941
2,1000,95,49,4,8,3,7,34769.5129
2,1000,95,49,4,24,3,7,35478.4324
2,1000,95,57,1,8,3,8,35334.1927
2,1000,95,57,1,24,3,8,36043.1122
2,1000,95,57,2,8,3,8,35435.548
2,1000,95,57,2,24,3,8,36144.4675
2,1000,95,57,3,8,3,8,35531.4552
2,1000,95,57,3,24,3,8,36240.3747
2,1000,95,57,4,8,3,8,35619.0935
2,1000,95,57,4,24,3,8,36328.013
1,800,20,16,1,8,3,3,24264.73417
1,800,20,16,1,24,3,3,24973.65367
1,800,20,16,2,8,3,3,24366.08947
1,800,20,16,2,24,3,3,25075.00897
1,800,20,16,3,8,3,3,24461.99667
1,800,20,16,3,24,3,3,25170.91617
1,800,20,16,4,8,3,3,24549.63497
1,800,20,16,4,24,3,3,25258.55447
1,800,20,24,1,8,3,4,24806.04157
1,800,20,24,1,24,3,4,25514.96107
1,800,20,24,2,8,3,4,24907.39687
1,800,20,24,2,24,3,4,25616.31637
1,800,20,24,3,8,3,4,25003.30407
1,800,20,24,3,24,3,4,25712.22357
1,800,20,24,4,8,3,4,25090.94237
1,800,20,24,4,24,3,4,25799.86187
1,800,20,32,1,8,3,5,25266.42297
1,800,20,32,1,24,3,5,25975.34247
1,800,20,32,2,8,3,5,25367.77827
1,800,20,32,2,24,3,5,26076.69777
1,800,20,32,3,8,3,5,25463.68547
1,800,20,32,3,24,3,5,26172.60497
1,800,20,32,4,8,3,5,25551.32377
1,800,20,32,4,24,3,5,26260.24327
1,800,20,40,1,8,3,6,25578.25657
1,800,20,40,1,24,3,6,26287.17607
1,800,20,40,2,8,3,6,25679.61187
1,800,20,40,2,24,3,6,26388.53137
1,800,20,40,3,8,3,6,25775.51907
1,800,20,40,3,24,3,6,26484.43857
1,800,20,40,4,8,3,6,25863.15737
1,800,20,40,4,24,3,6,26572.07687
1,800,20,49,1,8,3,7,25985.83397
1,800,20,49,1,24,3,7,26694.75347
1,800,20,49,2,8,3,7,26087.18927
1,800,20,49,2,24,3,7,26796.10877
1,800,20,49,3,8,3,7,26183.09647
1,800,20,49,3,24,3,7,26892.01597
1,800,20,49,4,8,3,7,26270.73477
1,800,20,49,4,24,3,7,26979.65427
1,800,20,57,1,8,3,8,26835.41457
1,800,20,57,1,24,3,8,27544.33407
1,800,20,57,2,8,3,8,26936.76987
1,800,20,57,2,24,3,8,27645.68937
1,800,20,57,3,8,3,8,27032.67707
1,800,20,57,3,24,3,8,27741.59657
1,800,20,57,4,8,3,8,27120.31537
1,800,20,57,4,24,3,8,27829.23487
1,800,26,16,1,8,3,3,25264.35477
1,800,26,16,1,24,3,3,25973.27427
1,800,26,16,2,8,3,3,25365.71007
1,800,26,16,2,24,3,3,26074.62957
1,800,26,16,3,8,3,3,25461.61727
1,800,26,16,3,24,3,3,26170.53677
1,800,26,16,4,8,3,3,25549.25557
1,800,26,16,4,24,3,3,26258.17507
1,800,26,24,1,8,3,4,25805.66217
1,800,26,24,1,24,3,4,26514.58167
1,800,26,24,2,8,3,4,25907.01747
1,800,26,24,2,24,3,4,26615.93697
1,800,26,24,3,8,3,4,26002.92467
1,800,26,24,3,24,3,4,26711.84417
1,800,26,24,4,8,3,4,26090.56297
1,800,26,32,1,8,3,5,26266.04357
1,800,26,32,1,24,3,5,26974.96307
1,800,26,32,2,8,3,5,26367.39887
1,800,26,32,2,24,3,5,27076.31837
1,800,20,32,3,8,3,5,26463.30607
1,800,20,32,3,24,3,5,27172.22557
1,800,20,32,4,8,3,5,26550.94437
1,800,26,40,1,8,3,6,26577.87717
1,800,26,40,1,24,3,6,27286.79667
1,800,26,40,2,8,3,6,26679.23247
1,800,26,40,2,24,3,6,27388.15197
1,800,26,40,3,8,3,6,26775.13967
1,800,26,40,3,24,3,6,27484.05917
1,800,26,40,4,8,3,6,26862.77797
1,800,26,49,1,8,3,7,26985.45457
1,800,26,49,1,24,3,7,27694.37407
1,800,26,49,2,8,3,7,27086.80987
1,800,26,49,2,24,3,7,27795.72937
1,800,26,49,3,8,3,7,27182.71707
1,800,26,49,3,24,3,7,27891.63657
1,800,26,49,4,8,3,7,27270.35537
1,800,26,57,1,8,3,8,27835.03517
1,800,26,57,1,24,3,8,28543.95467
1,800,26,57,2,8,3,8,27936.39047
1,800,26,57,2,24,3,8,28645.30997
1,800,26,57,3,8,3,8,28032.29767
